"Feature","Gain"
"Intensity",0.0706576734798191
"RDF015s",0.0446880125659002
"complexity.from.pubmed",0.0231600844361321
"Mor13m",0.0223907846731372
"IC4",0.0209170583344947
"Chi_Dz.i.",0.0192034592962923
"Mor29s",0.0144376182841539
"TDB09e",0.0133178832445032
"MATS8p",0.0124346881860546
"Gu",0.0118355387771137
"MATS7s",0.0116266799613616
"HATS6u",0.0113091606018272
"P_VSA_MR_6",0.0106828095438402
"ATSC5s",0.00936034557044906
"SpDiam_AEA.dm.",0.00908344721867145
"TDB05p",0.00901683022443484
"ATSC2e",0.00874562163263684
"Mor28u",0.00859067283319541
"MW",0.00846958301099752
"MATS6p",0.00842496555095169
"Mor32v",0.00828182878921662
"SpMax_EA.dm.",0.00823035827262161
"AMW",0.00808765972852134
"J_Dz.p.",0.0080662235640269
"RTs.",0.00766480199975604
"E1u",0.00756104725604187
"SdO",0.00753446411755785
"Mor30s",0.00679231472318094
"Mor24s",0.00657191013685798
"R5s.",0.00651399587993587
"Mor32u",0.00572737609580844
"G.O..S.",0.00560212549760073
"Psi_i_0d",0.00555277362788093
"X4sol",0.00532551742085695
"Mor28i",0.00528934521655609
"DISPm",0.00525762555451748
"Mor07u",0.0050215441898543
"RDF025v",0.0050033287636511
"Mor15i",0.0049763861778412
"DISPe",0.00443142512267109
"E3s",0.00429682972881484
"Mor17m",0.00400013753223417
"MATS2e",0.00384680217196062
"R1i",0.00383333441134392
"RDF020p",0.0037367300232179
"HATS4s",0.00362594895926175
"P_VSA_s_3",0.00362391835081607
"Sv",0.00357345365107599
"N.",0.00353493183697059
"MATS7p",0.00351229344364949
"VE2_RG",0.00341317733693311
"Mp",0.00339392400026993
"Mv",0.00337933188936522
"H0s",0.00334375834510155
"ALOGP2",0.00333640316630065
"Me",0.00325315166021578
"Mor03s",0.00318046683873239
"ON1V",0.00311168822707304
"Mor13s",0.00301877932714684
"R4s.",0.00296485414264178
"MATS5m",0.00292956020563574
"R6s.",0.00292743382451598
"Mor30i",0.00291066107333964
"Mor28s",0.00289898713258522
"RBN",0.00288466727222814
"RDF055p",0.00287339494592669
"TPSA.Tot.",0.00286236305795359
"GATS2s",0.00283581542632428
"RDF060v",0.00281783181181125
"DECC",0.00274561201871064
"MATS4v",0.00267191000724062
"HATS3v",0.00262844919729425
"Mor26m",0.00258402595685169
"RDF060m",0.00258123528296131
"DBI",0.00250292971104302
"Mor05e",0.00249006167392621
"R2m.",0.0024895186064926
"MATS6v",0.00244089020099634
"RDF080m",0.00239248907652685
"Mor30v",0.00236688710581517
"ALOGP",0.0023559992359296
"CIC3",0.00228027928840657
"PW4",0.00224976738924683
"Mor30m",0.00222076646106966
"R6u",0.00220522318867835
"L3m",0.00211272466303411
"RDF060p",0.00206797739307269
"Chi1_EA.dm.",0.00204393970433711
"R3u.",0.00204101590889821
"SpMin4_Bh.v.",0.00203632666269702
"RDF025s",0.00201642738758125
"Mor10i",0.00199752106296855
"DISPi",0.00199604901731311
"Eig11_AEA.bo.",0.00195982676181251
"RDF065v",0.00192440517718413
"Mor08s",0.00192148204715516
"MAXDN",0.0018910437370487
"GATS1p",0.00188567782891745
"Mor21s",0.0018843042318742
"G1e",0.00182155577773286
"RDF080p",0.00181201300216373
"Mor23u",0.00174174680529649
"Mor05u",0.0017335268801533
"Mor22s",0.00172200931054425
"Mor21p",0.00172111192311216
"H5p",0.00171845839307898
"MATS2p",0.00171529611486076
"GATS4s",0.00170407676381117
"HATS6p",0.00169629146274518
"RDF020e",0.00168852720488317
"RBF",0.00167641157514693
"ZM1V",0.00165857682646773
"VE1_Dz.v.",0.00164976697974799
"IC3",0.00164413360024524
"SIC5",0.00164230854914008
"Mor20e",0.00162917359075925
"Mor27p",0.00161562326384763
"ON1",0.00161172280996964
"MAXDP",0.00159983062360947
"BIC4",0.0015920408451117
"Mor10s",0.00158179497464346
"X5Av",0.00158059309377212
"SsCH3",0.0015558353984786
"ATS7i",0.00154712695333442
"SpDiam_AEA.bo.",0.00151983297940472
"SpPosA_B.m.",0.00150465031187999
"R8u",0.00149501699194184
"HNar",0.0014895834849965
"MATS3v",0.00147063461531567
"E2p",0.00146803040389015
"Mi",0.00144423508387642
"Mor21v",0.00143048972174808
"TDB04u",0.0014014984769887
"BLI",0.00139577915348271
"Chi1_EA.bo.",0.00139553139860445
"RDF040m",0.00139482858739582
"Psi_i_s",0.00139252584999844
"Mor19u",0.00139143361423226
"HTu",0.00138999722222107
"MATS4s",0.00138413103459977
"Eig07_AEA.ri.",0.00138080880527553
"TIC3",0.00137835491697148
"nR05",0.0013720256296664
"SpMaxA_EA.ri.",0.00136151722328944
"O.",0.00136021576670288
"Se",0.00132267559231213
"J_Dz.i.",0.00129677259265162
"G2i",0.00129026183896261
"SpMAD_AEA.ri.",0.00128863200152927
"RDF060i",0.0012797122410876
"IC5",0.0012770911860404
"RDF055m",0.00127397051270655
"GATS6s",0.00122494205551842
"L2v",0.0012182406055818
"HyWi_B.s.",0.00121786489128364
"J_G",0.00121494768245256
"Mor26p",0.00119906344968442
"Mor23s",0.00119796434910291
"BIC2",0.0011878495435064
"Mor16s",0.00118513816429168
"ATSC1s",0.00116548566607398
"RDF040s",0.00116027454850821
"R6e.",0.00115529991744371
"Psi_i_A",0.0011529704903625
